Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
20ed756eaf3aafa39325c4b5761cf86c3245ab680176fac6f6fc8bdce5bc3bd4,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.407690,50.915591,On or near Fitzhugh Place,E01017138,Southampton 023C,Investigation complete; no suspect identified
49f0cc48fc2d2b89c4b3711c5f3f554985b4bf26194691ebebdae624b5ae11a4,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.051900,51.301156,On or near Avington Way,E01022496,Basingstoke and Deane 006B,Unable to prosecute suspect
54428c4274bf75b5fdd258ba508830ff4e81a1027316f3f8ab31ffaa85512d72,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.981538,50.853238,On or near ,E01022953,Havant 014A,Investigation complete; no suspect identified
a5a0ad430f09060ba5829d6c934ecac20a0e3364795ca099f7776dd16bfcfc4a,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.309664,51.061647,On or near Busket Lane,E01023251,Winchester 006A,Offender given a caution
d459422d806fe5e549cc74b487f21810555246b1ed26f3521c1946e961a81acc,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.871544,51.102158,On or near Templars Way,E01032663,East Hampshire 008E,Offender given a caution
bae5eb50f48fc39f04e611b14217fad5e23f44558bff99867a5e0205a49416a1,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.167979,50.644643,On or near Flitcroft Gardens,E01017319,Isle of Wight 016B,Unable to prosecute suspect
0525b532bbda150751ee32960cbe0f5bf894f4503b794a61b50fc95ad59d128f,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.432311,50.920506,On or near Mayflower Road,E01017213,Southampton 015E,Formal action is not in the public interest
19ac57170d2ccd8c22d1cf1b03574c8c2a30dd28bff3a4ef411593dbe34ac5d5,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.401096,50.956113,On or near Bracken Place,E01023171,Test Valley 015B,Investigation complete; no suspect identified
bd755afee1719081cbae0744a4655e577c6b78273b37a6a5f348bf16875ac7fd,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.297763,50.762836,On or near High Street,E01017300,Isle of Wight 001A,Unable to prosecute suspect
fac59e05cd7eabb88d7e1ca4a2abc6727188efe3444fd9149304568cbd14e175,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.443614,50.912728,On or near Millbrook Point Road,E01017194,Southampton 021C,Unable to prosecute suspect
0882c6bfef61c245b52a423a24c74a6fdcf4ed9c36d6990e2e08219aef6a7009,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.946278,51.285093,On or near Doctors Acre,E01022881,Hart 006A,Unable to prosecute suspect
6c1d715d710156ad907ce648c20f68fa5fec4770fac6c3fb9580dd559219739f,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.796996,50.926592,On or near Flaxfields End,E01023022,New Forest 001D,Unable to prosecute suspect
c25e1c7721438cb0dbbbd28903173868df114e6e67b284711aeb8c50d308d05f,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.744931,51.247966,On or near Highland Road,E01032858,Rushmoor 009F,Investigation complete; no suspect identified
818e690db2fe162ab4f4d6e7a9dc7cb2b2388f64b9568475c8b8de69acfe8d37,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.180294,50.825154,On or near ,E01022800,Gosport 001A,Unable to prosecute suspect
202b212d9451faf2ed8723714d0ca682d5c13f83172b077a4b30b60bad5fc78c,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.437339,50.931762,On or near Laundry Road,E01017251,Southampton 010C,Investigation complete; no suspect identified
f8fc607c16a978bacb72ea333ff886beb3cd32948499c2e70826005c1f12bf8b,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.095853,50.850483,On or near Rydal Close,E01017120,Portsmouth 001E,Unable to prosecute suspect
3edfe163367eacb0094e988b7f299411ede8003048aa0a0a29eaedc4ec5894ee,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.148583,50.803541,On or near ,E01022817,Gosport 005C,Unable to prosecute suspect
83c46d14f3f2c4995bb622c1fe9c8a8ee1f9ceff2f80585a263b0847c37de55a,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.087934,50.928037,On or near West Street,E01023235,Winchester 011A,Investigation complete; no suspect identified
2e1641cec1ed75d52ad461e39610fabe3341fd77d3085cf0273f95d168add4c8,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.831221,51.329609,On or near Highwood Close,E01022896,Hart 002C,Investigation complete; no suspect identified
9ce587bd243fd431f39549414aee782ba9a08b5858f1dd1415efdacb6335c5df,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.281784,50.706291,On or near Atkinson Drive,E01017310,Isle of Wight 008A,Unable to prosecute suspect
f73f9c4c3b3e099f558c12887887922d00dca9367c79deb6141d5c074dcdfffb,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.357040,50.967794,On or near Factory Road,E01022669,Eastleigh 007B,Formal action is not in the public interest
a107cce073854e44f479f73a2d7e5b29f3d2619c13672be82bf17b5d41753591,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.313814,50.651151,On or near Greenland Close,E01017297,Isle of Wight 017A,Unable to prosecute suspect
cd5424558dae96836888c0c41b9a7036c4c71537414a931205c2207d5e95b10a,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.103102,50.800611,On or near Cross Street,E01033381,Portsmouth 016G,Investigation complete; no suspect identified
5fcacbb278aa32a017153aa6b48b69c90e14e0dc8c3e83a73b233fd9cb7137ac,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.141412,50.803912,On or near Rogers Close,E01022818,Gosport 005D,Unable to prosecute suspect
5837fbae03fbf678adf5b9f946669f6bfdb092769cd89ebde9186e3f308956fe,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.030507,50.901909,On or near Merlin Close,E01022934,Havant 019C,Unable to prosecute suspect
ad6beb9458eca2113960e46729446e3a38eb8429c1635ce22ae575a62e2b699f,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.672596,50.754139,On or near Queensway,E01023019,New Forest 020C,Investigation complete; no suspect identified
20235d7fb57209323cc09d0f9faa197af647246892512707ec727359e9c51f7c,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.406474,50.978748,On or near Thistle Road,E01023213,Test Valley 014D,Unable to prosecute suspect
ff3bf0afa144857b4042bd88e5a7f6f3482fd3979e72f827909f5cce456b6711,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.057594,50.797069,On or near Edgeware Road,E01017101,Portsmouth 017F,Investigation complete; no suspect identified
863aa32e31544a95d678a7524466f48c2b135e0db6becfa9cee32f585347d0d4,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.179494,50.633924,On or near Shanklin,E01017356,Isle of Wight 016C,Unable to prosecute suspect
154642379dd8ad2ddbf9630307e1ed28819bbaf77eb0c51ffd2821808f2e0d0a,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.394047,50.923309,On or near Portswood Avenue,E01017235,Southampton 013E,Investigation complete; no suspect identified
54e4c763d562515a5330839ec6d07ef9f61b0e9a4f183defa90bcdff0a141bf0,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.372399,50.964092,On or near Magpie Lane,E01022678,Eastleigh 006C,Unable to prosecute suspect
bfe05cb85c6e74e68b41b3eb23266b9f3772a7f7d3eb0b8c502c98e99f56e859,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.174856,50.726797,On or near St Vincent's Road,E01017342,Isle of Wight 006E,Investigation complete; no suspect identified
e75ffd98d41fbf085ea57326426d6e97ed3c152a90825d834b8a11156f3782fc,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.081137,50.780998,On or near Somerset Road,E01017121,Portsmouth 025C,Formal action is not in the public interest
bf8f81325a2151bc267012bdad5fd7b9fa00106f7bc9111c419e1c1c3fffd73f,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.169159,50.810992,On or near Filmer Close,E01022841,Gosport 004E,Investigation complete; no suspect identified
21525693ba76ecd64b29ea31e1db790e7138a6d405f6b8ac76722ec78ca3c70e,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.082374,51.277804,On or near Wateridge Road,E01022524,Basingstoke and Deane 009A,Unable to prosecute suspect
62e1eb937c56fc9fea6f67b96bbe7b973e0bc0eff530125646e2e4fa302a07d0,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.142595,51.245124,On or near Swallow Close,E01022517,Basingstoke and Deane 018C,Investigation complete; no suspect identified
9a841a1c1187f8193634da35653181ebd0dad96cde9cacd64fbceb67d345f141,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.087182,50.798330,On or near Durham Street,E01017032,Portsmouth 016B,Unable to prosecute suspect
ef41b8b5ffc7d313b39f927007a9e2668201e652d2978a3a6bf308d4afd9eb04,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.084230,50.786013,On or near Marmion Avenue,E01017125,Portsmouth 022B,Unable to prosecute suspect
dadfa5fc025a3bd52d35fa88ccaa9107fe2e5471c73039f886b73a08dda65cc7,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.793636,50.847855,On or near ,E01023070,New Forest 012D,Investigation complete; no suspect identified
18c9113b43faf60223c6c6113a3f2fbc819fe65db003b656a5c450c577c21b7b,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.476017,51.005185,On or near Tarver Close,E01023199,Test Valley 013D,Unable to prosecute suspect
4868ceefb55b75c836d18e0448672ff93fc0b7242d446fbfb5bfca7f68bd32be,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.433702,51.223767,On or near Red Kite Crescent,E01023201,Test Valley 003B,Unable to prosecute suspect
f96d1d4405bbc81a3360855b15cf667b5cccdccabe2ad712d7ec0425bedb97a6,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.361065,50.886075,On or near Longstock Close,E01017274,Southampton 032A,Unable to prosecute suspect
1630644d4edd5d70040f82323a80f98f696bf0b35ef8e91af57d374b80c6d8ea,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.067224,50.844332,On or near High Street,E01017051,Portsmouth 002A,Investigation complete; no suspect identified
007f80eb985961ea376401caf7b86a95b399769f536eda63d6a82816535cf1b4,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.592484,50.958376,On or near ,E01023163,Test Valley 013B,Investigation complete; no suspect identified
7ad2c3883b13e3c1e6728fba104a66136999e8aacbb27d31460b281a6642cff7,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.073980,50.824484,On or near Haig Court,E01017084,Portsmouth 009A,Investigation complete; no suspect identified
81269add39354a30771ffa7d27d0156a9474bf311d2eaaba038903a5d74b45aa,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.073357,50.798553,On or near Lincoln Road,E01017080,Portsmouth 015E,Investigation complete; no suspect identified
6b9973d848661655c9d047b92572173a22fbb834e0c07bb915f83363b08bea09,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.056259,50.802769,On or near Cheslyn Road,E01017020,Portsmouth 014F,Investigation complete; no suspect identified
82217765d55d372574c702ffafa0e1a451bca32d7a6eb8045a21a302357b981a,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.405352,50.939427,On or near Denbigh Gardens,E01017146,Southampton 001C,Investigation complete; no suspect identified
48da3c51f709555136317594ab63cfb0bc0e2bc1e9de0063a3ede72d9b82821b,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.789634,51.292184,On or near Regiment Close,E01023093,Rushmoor 005B,Investigation complete; no suspect identified
86fdd28f106a292097d75829c7f75c52debefa1fbb4906bd8d897776102322db,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.397119,50.938800,On or near Dahlia Road,E01017149,Southampton 001E,Investigation complete; no suspect identified
c5968f218ec2d6411359f08de4bf7998647b763d223f2b1ae6b6577189ce110b,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.124933,51.267627,On or near ,E01022568,Basingstoke and Deane 010D,Investigation complete; no suspect identified
68ba5153d39e319f218b53b614f7874346e30abf1a47ee62e73d091bb856bfc8,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.329170,51.061706,On or near ,E01023263,Winchester 007C,Investigation complete; no suspect identified
44d944e28293e8c4b5849f67bcdea018f24c575fee6769e21063233e72b352a0,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.032165,50.871987,On or near Kelly Road,E01022965,Havant 005C,Investigation complete; no suspect identified
5c16c340f45156b2089ef3b29a92714dc8cf7c665351726f0168cd541eed01a8,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.341039,50.970421,On or near ,E01022671,Eastleigh 007D,Investigation complete; no suspect identified
566b93d746824f2226d422a702a248c1ba1dbfe33ab8d758f10022e96a5ec210,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.053627,50.827658,On or near Sutton Close,E01017046,Portsmouth 008B,Investigation complete; no suspect identified
ff77380b91539c7e5bf76092029415eb4da880ef98ca17db0244f8f35f1f5e92,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.789634,51.292184,On or near Regiment Close,E01023093,Rushmoor 005B,Investigation complete; no suspect identified
75cc391554aea51cd72db0d08192c7c946dfb122fa2e4031d49316065654daeb,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.223773,50.731405,On or near New Road,E01017367,Isle of Wight 005C,Investigation complete; no suspect identified
c8a80c7f8ca3ed60a193462439bfa349c52e5da6abbb6e8fc3bcf00c7a9d9ea5,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.427604,50.919170,On or near ,E01017247,Southampton 011A,Investigation complete; no suspect identified
9f09911a803247998864bb52f93247f7e3a597bb68c2620b64480c7edbf35e37,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.088981,50.815295,On or near Whale Island Way,E01017108,Portsmouth 010C,Investigation complete; no suspect identified
71cfbb05cdd594a83e5890270ce91f4c8233cf791bf79fa5a80b3e865a41d419,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.428461,50.910749,On or near Almond Road,E01017195,Southampton 021D,Investigation complete; no suspect identified
8eb919eb457914446ef24275c74bb468a9c84261fe832956da5b3436d350fea7,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.427604,50.919170,On or near ,E01017247,Southampton 011A,Investigation complete; no suspect identified
c2d74984aa4a6a5d253b38e3ad97ad5234b4dbc1962ddd5bc7265cad278f621d,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.424505,50.913184,On or near ,E01017195,Southampton 021D,Investigation complete; no suspect identified
96055129089aca5442e549d231e7cd599fc33ac94bf81283bfb24cef59838826,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.123882,51.255030,On or near St Lukes Close,E01022549,Basingstoke and Deane 014B,Investigation complete; no suspect identified
0c5d988bf15c5ac762ef5f1845e8654c32bd4c544181d7fc50f4f49985f32ae3,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.427604,50.919170,On or near ,E01017247,Southampton 011A,Investigation complete; no suspect identified
136906907e4fad3cecf9ca93092d63b893dfb1c1fd451fabeb77d9caa24b3f59,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.791194,50.843311,On or near ,E01023071,New Forest 012E,Investigation complete; no suspect identified
dbc1c338b075da3d97062bf12d6c8514b8af7673b9e168c5265235d0900206a7,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.094122,50.794625,On or near Waltham Street,E01017132,Portsmouth 018E,Investigation complete; no suspect identified
13b85952835895431f3a06bcadb29c06aa4df7f0d10050948f3db4ac19d18b23,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.358809,50.924110,On or near Lytham Road,E01017201,Southampton 016B,Investigation complete; no suspect identified
2e4617e0c54311c642e6e0ee3ff04a45531b5f1ac319db6775da85f4287e4760,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.214194,50.954727,On or near Southfields Close,E01023221,Winchester 012B,Investigation complete; no suspect identified
f3327984592500712401a70225927922e2d656aee37f284f6f61533239f33747,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.418269,50.909053,On or near Bourne Road,E01017194,Southampton 021C,Investigation complete; no suspect identified
7ba9649c0c3ba6419df66ea7182fc2058d6ce6abe976e7692621350b9b1b8554,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.017425,50.897456,On or near ,E01022920,Havant 020B,Investigation complete; no suspect identified
9ec50b479564ad4859863e9a2e4898703f5595da4a58af03e5d0e744ac39c7e2,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.841239,51.282356,On or near ,E01022860,Hart 005A,Investigation complete; no suspect identified
14c328598e811bde258c579869b3e3a9350d9f17a98c11ebb84d1bf4d801ee35,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.177896,50.863904,On or near Furzehall Avenue,E01022720,Fareham 004A,Investigation complete; no suspect identified
7218fab8357788a50a213d719fa2f6ae1a3a5e729f2e7cde16bbb5c25a19b113,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.451768,50.888199,On or near Burma Way,E01023050,New Forest 008F,Investigation complete; no suspect identified
bfa78a34a6f0ff7ab3f76f3606643331ae136e8eac3cc60f8e937d00cec63240,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.975106,50.858910,On or near Anderson Close,E01022957,Havant 014E,Unable to prosecute suspect
f3aeb08c62f4ea964864154fdbe279f25bf89c90c98b5f7f215f414ca1ca0d0d,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.087243,50.801747,On or near Jacob's Street,E01017038,Portsmouth 013C,Investigation complete; no suspect identified
a3de4a47c0d5959c24b8d44df7c65d1d880c07dad3b4aa295e10eacc5799fe63,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.131197,50.790024,On or near Old Road,E01022843,Gosport 008D,Investigation complete; no suspect identified
b100584bbd8ba1e872116a881d1e4648dd15ec3cc56056a3a8a9faf0960ee5c1,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.972667,50.792692,On or near Poplar Grove,E01022938,Havant 017B,Investigation complete; no suspect identified
b4ab710226db9b1dcf2195f46a85420881eb481b802f0d2ab85a515442af3b89,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.864930,51.108614,On or near ,E01022634,East Hampshire 004B,Investigation complete; no suspect identified
4bd8b023c1b87bbacf4776cab6a4d1562a5f8667d89974622a2fcb6596c50b16,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.101842,50.796753,On or near Britain Street,E01033383,Portsmouth 016H,Investigation complete; no suspect identified
88a5d26167791aeba28f84c07005f8e37308934c942dd23183f677041536169c,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.393258,50.908512,On or near Wolverton Road,E01017156,Southampton 022D,Investigation complete; no suspect identified
971f60e7692a7c9d3d2c7b82d6649538bd63e13096b638e22966cd3f307d923a,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.219809,50.969683,On or near Ashton Lane,E01023222,Winchester 012C,Investigation complete; no suspect identified
6a1d16743e7de6258912c8d41e59b6e64ef1971895fae954c117c976ac643adb,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.748432,51.264145,On or near Prince's Avenue,E01023136,Rushmoor 007C,Investigation complete; no suspect identified
ba8739b27398aa3e6fd3d5b94bad07de89fc69de514b0ec27b97475df4f8d492,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.075437,50.786645,On or near Beatrice Road,E01017071,Portsmouth 025A,Investigation complete; no suspect identified
8c3ffada2db7f54ec01d46b2721d906c728b9588b79ba8134ff5e36fc5c17e55,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.166647,50.812566,On or near Charden Road,E01022841,Gosport 004E,Investigation complete; no suspect identified
14fcefff584282540421c84f1963e00d8375ae88a15f511c7640cf7aa587666c,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.094214,50.796451,On or near White Swan Road,E01017032,Portsmouth 016B,Investigation complete; no suspect identified
c78de2dc56ba5915a049553d2ac935dd10a0b77fa5718e5f2db8305943f695c1,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.423124,50.915605,On or near Western District Cut,E01017192,Southampton 021A,Further investigation is not in the public interest
75ee0029dda0272ec4c33a8c1a2529a469bef9513ab35c3b87f2bad32d2bbb53,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.522262,50.915262,On or near Ringwood Road,E01023090,New Forest 003E,Unable to prosecute suspect
8e8322e03ac1d42943b0fc89114d9782d20efc4ab1d5a127878b5cf63d9f043b,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.963086,50.866591,On or near Lynch Close,E01022958,Havant 014F,Investigation complete; no suspect identified
34aabea2a91a848358d9375a0c8564bc3f77199f996942b37edcf71c19460a36,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.029661,50.880329,On or near Curzon Road,E01022972,Havant 004C,Investigation complete; no suspect identified
78ecf1694e3a3979c64f89638071a3a8e44f125647a1e4ab20047976d6ab9316,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.983879,50.868429,On or near Foxcott Grove,E01022903,Havant 008A,Investigation complete; no suspect identified
c18dd5e809fdcb87299d43cc8e868a9cb8b15868bc413d998663d65698d26252,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.773814,51.312144,On or near North Farm Close,E01023121,Rushmoor 001D,Investigation complete; no suspect identified
05e11d55d5f6f1b286d90829afd2faa7da860fe5a8b3d29e81ec946230c7f61c,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.749998,51.256113,On or near Hurst Road,E01023141,Rushmoor 008A,Investigation complete; no suspect identified
2092dba9b1e45c667a5943fb1e36e2f092582c9be464ca56d9b7e2d606780829,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.323149,50.893082,On or near Bowers Drive,E01022656,Eastleigh 013C,Investigation complete; no suspect identified
d9e746e7d0bcb74e2d0fc16b8c479ff13b054de73603a895b42fc9bbfb30dcf9,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.425204,50.919986,On or near Cunard Avenue,E01017247,Southampton 011A,Investigation complete; no suspect identified
3dcd2f67eecb5cd05be3b753c0bd2a8592513fb878410862eedd70569d2ab93c,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.443614,50.912728,On or near Millbrook Point Road,E01017194,Southampton 021C,Investigation complete; no suspect identified
6ad8d390c36490c3e77494998ca0cef4ae433dabc743d4505a88deed9fa52760,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.336559,50.900893,On or near Stainer Close,E01017170,Southampton 027D,Investigation complete; no suspect identified
403354e99631dbc83a14be1b8d078dbe90994b73e10137a4bb9e8a0203088c3d,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.322136,50.696083,On or near Bramleys,E01017295,Isle of Wight 009A,Investigation complete; no suspect identified
1d77eef9e29f90da6748d6dbc5b12e84fa4781bc1abc1b048051cf6286f204b9,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.490514,51.132435,On or near Church Road,E01023167,Test Valley 009B,Investigation complete; no suspect identified
bff2d159bd366e9b2f9820cc7ef64adbd73c16eacb9517f510ae85510fe22e72,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.144891,51.236428,On or near Firecrest Road,E01022518,Basingstoke and Deane 018D,Investigation complete; no suspect identified
e3ffcecdc743b355cd6c4cdaca52d79dc4e4f952a7eda179a6bfeef3387cf9e4,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.387729,50.910362,On or near Kent Street,E01017154,Southampton 022B,Investigation complete; no suspect identified
8aa34ea41cb73248d43be752e82d1be3a8434b57992ab211d56fbdb571d383f3,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.434119,50.913339,On or near Marchwood Road,E01017216,Southampton 019E,Investigation complete; no suspect identified
2c74041b79f89e33398a94c8a4d8f1f08c30092b27e3c7848d572640b38b1300,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.302908,50.926955,On or near Radley Close,E01022703,Eastleigh 011E,Investigation complete; no suspect identified
a2bd542b9dd2717946933e11ce5b960a11f66ac06f4aa6139d613760321e927f,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.061733,50.819252,On or near Ninian Park Road,E01017047,Portsmouth 008C,Investigation complete; no suspect identified
0b6bda4b1df538e5e4e551f13439e11109e5227a7516b06518bd2530a8821657,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.758217,51.243036,On or near Campbell Fields,E01023118,Rushmoor 009A,Investigation complete; no suspect identified
aa816260740341c09768267570d3486f4af19377dca16fa49de9f5cc707c5907,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.088928,50.785879,On or near Tonbridge Street,E01017125,Portsmouth 022B,Investigation complete; no suspect identified
dcc27e1104759c0adae974044b3abec717c7af241bf2593fb1d53b06302d1140,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.776078,51.246425,On or near Sandford Court,E01023129,Rushmoor 010B,Investigation complete; no suspect identified
89476f03116beb51477b2f6147b168b8ad3f608debc2193c0872f8995f3e0c08,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.196063,50.801424,On or near Trent Way,E01032883,Gosport 006H,Investigation complete; no suspect identified
570b0b916ad228de80752418d3358f5c550fbbe96edeca4c2ba7fbb2c4ca94cb,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.015855,50.945266,On or near Green Lane,E01022589,East Hampshire 013B,Investigation complete; no suspect identified
946c46e74a3b58680ddc3176210e5d005824b377e100730241df98adeecae1fc,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.561451,51.096843,On or near Paynes Lane,E01023166,Test Valley 009A,Investigation complete; no suspect identified
ac2d762e03ee9129f698c2f2e66dfd7e6cea09225803a362d49c5de1f3243653,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.495110,51.115936,On or near ,E01023167,Test Valley 009B,Investigation complete; no suspect identified
afc61991557c170720d085e4e742a37ba8198fcc931056116ae828c2034dff88,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.387245,50.831280,On or near Holbury Drove,E01023030,New Forest 013B,Unable to prosecute suspect
d73b59b931681e87b7d9233895f3ea58534d5ef98b3dd32d5a7b0bbb7d0c91c2,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.044642,50.787881,On or near Sea Breeze Gardens,E01017074,Portsmouth 023E,Investigation complete; no suspect identified
b7639679fb5715bd87eb596875747ef713b23e2a873bd0635f9f18ffc853e3eb,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.058180,50.797533,On or near Bonchurch Road,E01017101,Portsmouth 017F,Investigation complete; no suspect identified
9580c14dbba66234755219e4143a01fffb02923206bfabbbf0823e6820465ed0,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.085711,50.820629,On or near Strode Road,E01017106,Portsmouth 010B,Investigation complete; no suspect identified
31abc4bd6fece20f6db97e24177826e0beb5bc0da53312fd6fd17a72cd9eeff4,2022-07,Hampshire Constabulary,Hampshire Constabulary,-0.832332,51.076855,On or near Fairway Close,E01022586,East Hampshire 009D,Investigation complete; no suspect identified
4193f4653c71eae2061c08d909cb3f565a86c0dc6b738aab13a46a568cf78467,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.330195,50.899436,On or near Killarney Close,E01017168,Southampton 027B,Investigation complete; no suspect identified
64615943d67c69eabb2f42bb2912dc2555d77084789bafbc321c56237650ced3,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.167124,50.919744,On or near Kingsmead,E01023277,Winchester 011D,Investigation complete; no suspect identified
4624d8075a557ba84ee181740cf2c951c40f3a53d5fc9969ada34710534d30f8,2022-07,Hampshire Constabulary,Hampshire Constabulary,-1.331604,51.055201,On or near Octavia Hill,E01023261,Winchester 008B,Investigation complete; no suspect identified
