Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c028bcf634effb16d5c040972c3a1003cda927c64eca5b307cf176697abda6a8,2022-10,Northamptonshire Police,Northamptonshire Police,-0.886985,52.265618,On or near Badby Close,E01027231,Northampton 009D,Unable to prosecute suspect
8df185545c84d6080cbb06143da9788fbd8bc70e8ea9b8318ed05850105c1cfe,2022-10,Northamptonshire Police,Northamptonshire Police,-0.623767,52.320700,On or near Wellingborough Road,E01027042,East Northamptonshire 006E,Suspect charged
8df185545c84d6080cbb06143da9788fbd8bc70e8ea9b8318ed05850105c1cfe,2022-10,Northamptonshire Police,Northamptonshire Police,-0.623767,52.320700,On or near Wellingborough Road,E01027042,East Northamptonshire 006E,Suspect charged
8df185545c84d6080cbb06143da9788fbd8bc70e8ea9b8318ed05850105c1cfe,2022-10,Northamptonshire Police,Northamptonshire Police,-0.623767,52.320700,On or near Wellingborough Road,E01027042,East Northamptonshire 006E,Suspect charged
559c0e26b9bf49b4c5764330ee1ae27caa599db4e068c042cbc0a093c190e952,2022-10,Northamptonshire Police,Northamptonshire Police,-0.686010,52.311159,On or near Bluebell Close,E01027330,Wellingborough 002A,Suspect charged
b03eb95f2207c3858aacc58a59b42a936a6faca2d141ba0fa46bc4b2636af5fc,2022-10,Northamptonshire Police,Northamptonshire Police,-1.170927,52.280494,On or near Hardwick Hall Way,E01026990,Daventry 006C,Investigation complete; no suspect identified
21dca844c4483cc53a93c476f43810aef24640c17f15caeb19e5d77d6bec5a94,2022-10,Northamptonshire Police,Northamptonshire Police,-0.894571,52.239274,On or near ,E01027155,Northampton 023A,Investigation complete; no suspect identified
c057a944074dc26f026d5e112cfe86d29d39f8eb2180b44551614ab743951e33,2022-10,Northamptonshire Police,Northamptonshire Police,-0.878215,52.246726,On or near Derby Mews,E01027132,Northampton 022A,Unable to prosecute suspect
7a76801de360a3433a512fd25497f28b5e07f8a25ecde5bd2936474e5dfb04dd,2022-10,Northamptonshire Police,Northamptonshire Police,-0.723726,52.492446,On or near Abington Road,E01026975,Corby 004D,Local resolution
b39049284e2c8748ba859ddde063d9dfe520c82b901a5539dfa57af8d32abbc2,2022-10,Northamptonshire Police,Northamptonshire Police,-0.900762,52.270865,On or near ,E01027147,Northampton 003D,Investigation complete; no suspect identified
7a53c39727d3a982a17252cd068f0fbbf46cbe31187aaf2b7e661d7ca1ef0d34,2022-10,Northamptonshire Police,Northamptonshire Police,-0.610599,52.289968,On or near Birchall Road,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
a365670667d321e3588bb4381a710304269992bf489322d400e9affd86b26a41,2022-10,Northamptonshire Police,Northamptonshire Police,-0.987486,52.131391,On or near Church Lane,E01027303,South Northamptonshire 004E,Unable to prosecute suspect
599fe0f54e63b07c34662591c8911e75d91eeb02f05036dff91050473dad708e,2022-10,Northamptonshire Police,Northamptonshire Police,-0.881255,52.244076,On or near Henry Street,E01027226,Northampton 025C,Unable to prosecute suspect
91edcf563ad98731ccc2a7a98fae8c98a65f0475148559c8e0bd79d1a6c3380e,2022-10,Northamptonshire Police,Northamptonshire Police,-0.881255,52.244076,On or near Henry Street,E01027226,Northampton 025C,Unable to prosecute suspect
74967f1e26b24ab24ee1ec02539958e8fc7a8593d2911aec398ffe8b0a378297,2022-10,Northamptonshire Police,Northamptonshire Police,-0.901633,52.228470,On or near St Leonards Court,E01032980,Northampton 028E,Unable to prosecute suspect
4474bb81a09321bd709a2a6ae32bac73c0e7f32fa67467889a1cec070e3e706c,2022-10,Northamptonshire Police,Northamptonshire Police,-0.751370,52.265779,On or near ,E01027322,Wellingborough 009A,Unable to prosecute suspect
a2560a3c00355ec48b50e2afc5529f8dca76bac9d760413d432c7d93dd3bf7f2,2022-10,Northamptonshire Police,Northamptonshire Police,-0.905397,52.233797,On or near ,E01032979,Northampton 021F,Investigation complete; no suspect identified
6993415169d7046318ba52e850b2034b175885494189ed9832a20b7b5412b2e6,2022-10,Northamptonshire Police,Northamptonshire Police,-0.703943,52.507030,On or near ,E01026982,Corby 001D,Unable to prosecute suspect
6c9c58e757c6456d73c7e86f7fbabdbd7d94bc8cd10c80be53a4ec8ea23b76ce,2022-10,Northamptonshire Police,Northamptonshire Police,-0.903001,52.325016,On or near Broad Street,E01027003,Daventry 002D,Unable to prosecute suspect
b6c97839d9903ff7db5f37a1db9a0789777b8bc80313b1ad6eabbb56ca5a4a18,2022-10,Northamptonshire Police,Northamptonshire Police,-0.751370,52.265779,On or near ,E01027322,Wellingborough 009A,Unable to prosecute suspect
ab20b3c7ec96f77ccfc5ca73516ef5310bb72fbd0cfd63d1e39c83883690eeeb,2022-10,Northamptonshire Police,Northamptonshire Police,-0.816745,52.244337,On or near ,E01027140,Northampton 011A,Unable to prosecute suspect
