Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ba834c95f9327610bb55ef77e2cfebb337e9df3ea183e956db4a698859c8722b,2020-09,North Yorkshire Police,North Yorkshire Police,-0.397338,54.283185,On or near NEWBOROUGH,E01027805,Scarborough 006A,Suspect charged
9126e01f8996a46b4313384feae5915576856b5ed5977b1dc6332c5e25079a35,2020-09,North Yorkshire Police,North Yorkshire Police,-1.067701,53.974999,On or near BYLAND AVENUE,E01013385,York 008C,Investigation complete; no suspect identified
c875aaa9c187d5b617c9c6b4383f6da198f138048e484fac234c4b255031053c,2020-09,North Yorkshire Police,North Yorkshire Police,-2.046688,54.146312,On or near THE GREEN,E01027585,Craven 002C,Investigation complete; no suspect identified
524c19adc4adcaa6586785991a5460df56dda55d956d08f6838faaba0cf6364f,2020-09,North Yorkshire Police,North Yorkshire Police,-1.091238,53.959756,On or near LEEMAN ROAD,E01033068,York 013G,Suspect charged
c40a82f03b6b7fd1e3ec4a11c1f1b4ea3acde8165cb5ac44d2b7bd64c2cf69f6,2020-09,North Yorkshire Police,North Yorkshire Police,,,No location,,,Further investigation is not in the public interest
eaf1636e4205cecfff15e836e201c2715d9a6a6728cc1bd50775ca7620127c69,2020-09,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
8f5f47a0bc72a26e52e54cbdfbb885297a9c0d179cf5484ba3fd6cc1fe044fe4,2020-09,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
a2a31002da987867eed3ca5b8af3237bbe8a9324257a9c3789463b705f47d40b,2020-09,North Yorkshire Police,North Yorkshire Police,-1.069330,53.991550,On or near WILLOW BANK,E01013410,York 004D,Offender given a caution
f199fe041c7fede875034dbf98b51c3088119cd781ec7ad6d74430b8c87e74ba,2020-09,North Yorkshire Police,North Yorkshire Police,-0.410418,54.280994,On or near MORGAN STREET,E01027812,Scarborough 008C,Suspect charged
f4a6ae7b9378a6b412e29c8273cc0a2e026d7a33b6500d8c24647e73e8da5258,2020-09,North Yorkshire Police,North Yorkshire Police,-1.568037,54.299277,On or near Petrol Station,E01027589,Hambleton 006C,Investigation complete; no suspect identified
72aa3502ec840f2abec6e3f0c21fecbce81e423cb840b2b3b5c5620c2a4768d0,2020-09,North Yorkshire Police,North Yorkshire Police,-1.505130,53.988435,On or near Petrol Station,E01027660,Harrogate 017A,Investigation complete; no suspect identified
b3d8aca6e3ba3f416acbba8308c9976457d68165e13657361fdb61a792432f34,2020-09,North Yorkshire Police,North Yorkshire Police,-2.278044,54.069849,On or near Parking Area,E01027572,Craven 003C,Investigation complete; no suspect identified
6af4a313dad37bb6d34769092e2900b721782d6e6fe545de66688b63ff25ed11,2020-09,North Yorkshire Police,North Yorkshire Police,-1.093138,53.950171,On or near WENTWORTH ROAD,E01013417,York 017E,Investigation complete; no suspect identified
51c5badd247b52f17edf7e011e775a384db104493a61a89b49021201520c0840,2020-09,North Yorkshire Police,North Yorkshire Police,-1.053612,53.948824,On or near Parking Area,E01013378,York 023B,Investigation complete; no suspect identified
fd945a965dc3e7c6ba3009dda73002eef8fa9af65f212a7cf88309d307d9227e,2020-09,North Yorkshire Police,North Yorkshire Police,-0.427613,54.291331,On or near OXCLIFF,E01027874,Scarborough 007D,Investigation complete; no suspect identified
8083c1da1ab0bb24270e75d6669420b2c5400d3f35b9d2973abd29d920cfffa7,2020-09,North Yorkshire Police,North Yorkshire Police,-1.734600,54.404656,On or near FRENCHGATE,E01027766,Richmondshire 002B,Investigation complete; no suspect identified
0bce32a3332f77bf4b598aad767a8a86d9dc11ca87aeb2097cbe40b6564cb9bf,2020-09,North Yorkshire Police,North Yorkshire Police,-1.095533,53.769509,On or near CONIFERS CLOSE,E01027881,Selby 006A,Investigation complete; no suspect identified
15870cc2d126694200f886de5eb6f2c0ca1ea32282874a94ea31fb0e1121ac0b,2020-09,North Yorkshire Police,North Yorkshire Police,-1.077482,53.922153,On or near Shopping Area,E01013365,York 023A,Investigation complete; no suspect identified
1b53fa1331138c6d80157bcc89baeebc720dab664ff65d26d1f136476fa15076,2020-09,North Yorkshire Police,North Yorkshire Police,-1.548446,53.989558,On or near COLD BATH ROAD,E01027680,Harrogate 015F,Investigation complete; no suspect identified
fd8dbc444912ac496408fa4b442127b0319948106886ba3e86512919244e0577,2020-09,North Yorkshire Police,North Yorkshire Police,-1.071358,53.947659,On or near KILBURN ROAD,E01013362,York 019C,Suspect charged
fd8dbc444912ac496408fa4b442127b0319948106886ba3e86512919244e0577,2020-09,North Yorkshire Police,North Yorkshire Police,-1.071358,53.947659,On or near KILBURN ROAD,E01013362,York 019C,Suspect charged
e825610c3d2299ca671a15d4b012a35abb37b4f5a84b54fe88e5644fdc14b78c,2020-09,North Yorkshire Police,North Yorkshire Police,-1.252112,53.797471,On or near Supermarket,E01027915,Selby 004C,Investigation complete; no suspect identified
2a2a81f08e0695454f52a8af52c95c8bb4d61f46fedd7bc766baa9d854121e15,2020-09,North Yorkshire Police,North Yorkshire Police,-1.083056,53.957546,On or near LOW OUSEGATE,E01013366,York 013A,Offender given a drugs possession warning
3f66075b67bfb9d7007f3982d4d3baf45a8743bfdd0d37ef36e6053ba11a0969,2020-09,North Yorkshire Police,North Yorkshire Police,-1.524860,54.136182,On or near WESTGATE,E01027713,Harrogate 002B,Investigation complete; no suspect identified
8f5aedf3667b8fcb6a2f58984481dfe654a463bddc8089763a84eed446088568,2020-09,North Yorkshire Police,North Yorkshire Police,-1.367211,54.015714,On or near ALLERTON LANE,E01027703,Harrogate 016E,Suspect charged
8f5aedf3667b8fcb6a2f58984481dfe654a463bddc8089763a84eed446088568,2020-09,North Yorkshire Police,North Yorkshire Police,-1.367211,54.015714,On or near ALLERTON LANE,E01027703,Harrogate 016E,Suspect charged
8a563ac2329084a96bd9af96350c17dc96c536dc640357b1cc5a0ce247193ea4,2020-09,North Yorkshire Police,North Yorkshire Police,-1.367211,54.015714,On or near ALLERTON LANE,E01027703,Harrogate 016E,Suspect charged
